見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
あなたの作品募集！！,心の輪を広げる体験作文,テーマ：障害のある人とない人との心のふれあいの体験,規格：400字詰め原稿用紙で小・中学生は2?4枚、高校生・一般は4?6枚程度,,,小学生（特別支援学校含む）以上,,,,,郵送、持参で住所、氏名（ふりがな）、 年齢（生年月日）、職業または学校名（学年）、電話（ファックス）番号を記入した用紙と作品を9月8日までに県庁障害福祉課,,,,http://www.pref.wakayama.lg.jp/prefg/040400/kokoronowa/index.html,,,
あなたの作品募集！！,,テーマ：障害の有無にかかわらず誰もが能力を発揮して安全に安心して生活できる社会の実現,規格：B3判・四つ切り画用紙縦長、中学生は標語または文字の挿入可（小学生は不可）,,,小・中学生（特別支援学校含む）,,,,,郵送、持参で住所、氏名（ふりがな）、 年齢（生年月日）、職業または学校名（学年）、電話（ファックス）番号を記入した用紙と作品を9月8日までに県庁障害福祉課,,,,http://www.pref.wakayama.lg.jp/prefg/040400/kokoronowa/index.html,,,
あなたの作品募集！！,統計グラフの作品を募集,,規格：B2判,,,第1部（小学1・2年生）、第2部（小学3・4年生）、第3部（小学5・6年生）、第4部（中学生）、第5部（高校生以上）、パソコン統計グラフの部（小学生以上）,,,,,規格：B2判,,,,http://www.pref.wakayama.lg.jp/prefg/020300/toukeigraph/,,,
あなたの作品募集！！,中高生読書まつりPOPコンクール,おすすめの本を紹介するPOPを募集,,,,県内在住・在学の中学・高校生（特別支援学校含む）または中学・高校生相当の年齢,,,,,郵送、持参で作品裏面に住所、氏名、年齢、学校名、対象図書の書名・著者名を記入した用紙を貼付し、9月5日?10月13日までに県立図書館〒641-0051和歌山市西高松1-7-38電話073-436-9500,,,,https://www.lib.wakayama-c.ed.jp/honkan/3tenji/8pop.html#,,,
UIターンフェア,県内企業の人事担当者との面談会,,,(1)8月11日（祝）13:00?16:00(2)8月15日（火）13:00?16:30(3)8月21日（月）13:00?17:00,（１）ガーデンホテルハナヨ（田辺市）（２）新宮市福祉センター（３）ホテルグランヴィア和歌山（和歌山市）,一般求職者、平成30年3月卒業見込みの大学・短大・高専・専門学校生（既卒3年以内の方を含む）,,,,県庁労働政策課,,,,,http://www.wakayama-uiturn.jp/,,,
県立産業技術専門学院体験入学,,,,9月2日（土）9:30?,：(1)和歌山産業技術専門学院（和歌山市）(2)田辺産業技術専門学院（田辺市）,中学・高校生、一般,,,,,電話、ファックス、インターネットで氏名、電話番号、出身校名、体験希望科（(1)は総合実務科除く）を8月31日までに各会場(1)電話073-477-1253　ファックス073-477-1254(2)電話0739-22-2259　ファックス0739-22-3123,,,,http://www.pref.wakayama.lg.jp/prefg/060701/common/taiken/taiken.html,,,
視覚障害者対象パソコン講習会,,,,9月24日・10月29日・11月26日いずれも日曜9:30?15:30,和歌山ビッグ愛（和歌山市）,,5人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、年齢、性別、電話（ファックス）番号を9月16日までに県立点字図書館 〒640-8319和歌山市手平2-1-2　和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731,,,,,,wakaten@msj.biglobe.ne.jp　,
お盆Ｕターン相談会,移住相談や就職相談など,,,8月14日（月）13:00?16:00,Wajima本町ビル（和歌山市）,,,,,,電話、ファックス、Eメールで住所、氏名、電話番号、希望時間を8月14日までにわかやま定住サポートセンター電話073-422-6110　ファックス073-422-6150,,,,http://www.wakayamagurashi.jp/shigoto/index.html,,wakayama-teijyu01@bz04.plala.or.jp,
9・10月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン基礎科(2)パソコン応用科(3)パソコン経理事務基礎科(4)OA営業事務員養成科(5)溶接加工科(6)住環境計画科(7)電気設備技術科(8)機械加工NC科(9)OA医療調剤事務科(10)パソコン・総務経理事務科(11)OA事務科（ビジネス）（障害者対象）,,,(1)?(8)(11)和歌山市(9)岩出市(10)田辺市,,,,,,ハローワーク（申込締切日あり）,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
県文化表彰受賞記念展,昨年度文化表彰受賞者の作品を紹介,,,8月25日?9月3日 9:30?17:00,県庁文化学術課,,,,,,,,,,http://www.pref.wakayama.lg.jp/prefg/022100/hyoshokinen/bunkakinen.html,,,
